Sample_ID,DATE,Sampling period,Plot,Disturbance,Fertilizer,Treatment_future,Depth,Moist_ID,Moist_Empty,Moist_Full,DNA_Wt,K2SO4_Wt,Leftover,Dry_Wt,Moisture,pH,EC,DNA_ID,K2SO4_ID,AG,BG,BX,CBH,LAP,NAG,PHOS,SUL,PEROX,PHENOX
1,5/24/2021,1,6,No,No,Disturbance,5,62,1.08,6.12,0.25,10.01,47.45,5.41,0.163972286,7.73,414,DRAG0001,DRAG0043,9.650808094,107.774469,30.15682774,8.788684959,274.7592067,35.20792589,83.98143634,7.970184698,1.081695629,4.560110262
2,5/24/2021,1,6,No,No,Disturbance,15,63,1.09,6.15,0.23,10.09,60.28,5.67,0.104803493,7.88,348,DRAG0002,DRAG0044,0,22.41503491,7.020656645,2.212492818,286.6778853,9.030981172,83.17404914,4.457144299,2.904482597,6.703046154
3,5/24/2021,1,6,No,No,Disturbance,30,64,1,6,0.24,10.11,94.9,5.6,0.086956522,8.02,295,DRAG0003,DRAG0045,0,3.889828202,0,0,290.3790537,0.64882082,72.03377125,2.084809224,2.564248126,2.777395784
4,5/24/2021,1,21,No,No,NPK Cessation,5,65,1.08,6.06,0.27,9.99,43.52,5.47,0.134396355,7.34,379,DRAG0004,DRAG0046,14.1672986,116.7421689,27.50260833,16.00786448,349.496965,13.72152867,34.94004825,8.43961972,1.218562659,0.359464857
5,5/24/2021,1,21,No,No,NPK Cessation,15,66,1,6.08,0.24,10,52.5,5.42,0.149321267,7.88,411,DRAG0005,DRAG0047,19.13478312,164.0271185,36.40508845,22.55299093,379.2729492,57.13136943,507.3051314,76.90247212,1.947718973,2.306552196
6,5/24/2021,1,21,No,No,NPK Cessation,30,67,1.03,6.04,0.26,10.02,81.68,5.26,0.184397163,8.06,396,DRAG0006,DRAG0048,2.426069438,33.90806276,7.720542622,4.572958548,441.5996385,17.37645733,280.2725415,34.58973369,3.330189932,3.097266508
7,5/24/2021,1,11,No,No,NPK,5,69,0.94,6,0.24,10.09,62.65,5.32,0.155251142,7.75,369,DRAG0007,DRAG0049,5.648951138,74.81870339,17.30792603,4.657196384,393.0905248,21.54926651,103.3388742,3.46865505,3.451966038,1.915781063
8,5/24/2021,1,11,No,No,NPK,15,68,1,5.98,0.27,9.99,53.74,5.34,0.147465438,8.09,386,DRAG0008,DRAG0050,0,18.0439101,0.939930385,0,467.8731922,7.00742193,100.6044515,6.08409401,3.855994459,11.73170532
9,5/24/2021,1,11,No,No,NPK,30,60,0.97,6.05,0.27,9.99,74.92,5.42,0.141573034,8.13,365,DRAG0009,DRAG0051,0,4.653983697,0,0,299.9884378,4.138990529,64.00061636,0,3.295724738,2.876715938
10,5/24/2021,1,8,No,No,Control,5,53,1.06,5.9,0.24,10.1,42.33,5.28,0.146919431,7.69,379,DRAG0010,DRAG0052,13.90360271,142.0871446,34.72591942,17.28644133,287.8150835,11.05997127,49.01394379,9.192299053,0,1.569176465
11,5/24/2021,1,8,No,No,Control,15,59,0.99,5.85,0.3,10.08,44.55,5.38,0.107061503,8.04,381,DRAG0011,DRAG0053,0,20.54834502,2.618733351,0.47026901,379.3244852,3.333691913,95.6464718,0,3.339774803,2.59732345
12,5/24/2021,1,8,No,No,Control,30,54,1.03,5.86,0.24,9.96,44.37,5.27,0.139150943,8.21,354,DRAG0012,DRAG0054,0,8.100426165,0.604576373,0,402.6753206,4.959653592,86.58540836,4.330206333,0,5.44570631
13,5/24/2021,1,22,No,No,NPK + Disturbance,5,56,1.06,5.83,0.23,9.69,54.6,5.19,0.15496368,8.02,350,DRAG0013,DRAG0055,8.651701187,84.29655642,24.46210176,8.314054903,350.4926349,5.501661109,76.94859851,6.174128512,1.328321371,0.598022433
14,5/24/2021,1,22,No,No,NPK + Disturbance,15,55,1.04,6,0.22,9.91,68.88,5.37,0.145496536,8.1,359,DRAG0014,DRAG0056,0,19.60233394,2.645189715,0,368.1912349,6.514358659,106.5625354,5.770400544,3.323217871,2.940406175
15,5/24/2021,1,22,No,No,NPK + Disturbance,30,58,1.01,6.07,0.24,10.11,54.9,5.38,0.157894737,7.92,399,DRAG0015,DRAG0057,0,9.056748928,0,0,395.2882468,2.451193253,81.24623813,3.420681891,3.421721634,3.394776593
16,5/24/2021,1,3,No,No,NPK,5,52,0.95,6.03,0.29,9.92,54.08,5.48,0.121412804,7.79,409,DRAG0016,DRAG0058,15.32661032,109.1588845,36.97499613,12.04277637,413.4952896,16.7003276,141.7834806,11.16596024,2.780890027,1.302549095
17,5/24/2021,1,3,No,No,NPK,15,57,0.97,6.01,0.28,10.89,54.8,5.35,0.150684932,8.01,409,DRAG0017,DRAG0059,0,8.714959703,0.636267695,0,400.980659,8.596346323,96.9415488,3.179697379,3.787036672,2.837367455
18,5/24/2021,1,3,No,No,NPK,30,50,1.06,5.91,0.32,10.23,31.88,5.32,0.138497653,8.15,303,DRAG0018,DRAG0060,0,3.52816029,0,0,188.3133541,2.033254132,38.64385213,0,3.177797095,2.678031683
19,5/24/2021,1,18,No,No,Control,5,61,1.05,6.06,0.27,9.98,46.3,5.25,0.192857143,7.74,447,DRAG0019,DRAG0061,21.20186045,169.1763004,46.28541105,18.92219056,309.5080827,22.56048835,79.26195941,12.99710936,1.523018818,0.99851296
20,5/24/2021,1,18,No,No,Control,15,40,1.07,6.03,0.25,10.03,51.88,5.43,0.137614679,7.86,413,DRAG0020,DRAG0062,2.241046776,41.36516566,8.316794201,2.817098025,376.2686287,16.16210962,137.8123861,9.337893198,3.885726937,8.068464814
21,5/24/2021,1,18,No,No,Control,30,114,0.98,6.07,0.24,10.05,87.44,5.42,0.146396396,8.07,367,DRAG0021,DRAG0063,0,12.9402439,0.9311788,0,314.569719,7.965667617,98.41871798,5.526104352,3.808754097,3.369722932
22,5/24/2021,1,4,No,No,Disturbance,5,42,0.94,5.86,0.25,10.94,44.18,5.26,0.138888889,7.69,415,DRAG0022,DRAG0064,40.6453198,128.7998455,43.50020623,20.25279926,598.7173186,12.83929826,223.0608779,11.31163118,4.069216716,3.363184101
23,5/24/2021,1,4,No,No,Disturbance,15,43,1,6.14,0.25,11,55.38,5.57,0.124726477,7.89,372,DRAG0023,DRAG0065,0,12.81515972,0.867881727,0,311.1743862,3.297307228,87.20605364,3.990950637,3.950627293,3.335913358
24,5/24/2021,1,4,No,No,Disturbance,30,48,0.98,6.28,0.25,11.02,81.9,5.67,0.130063966,,,DRAG0025,DRAG0066,0,7.180663899,0,0,246.6760823,0,50.6741403,0.247796053,2.773024078,2.64630624
25,5/24/2021,1,25,No,No,Control,5,47,1.04,5.9,0.27,11.14,43.12,5.23,0.159904535,7.68,366,DRAG0026,DRAG0067,15.39148357,92.51071259,31.94399986,11.25226269,252.5383965,9.725161065,84.54810232,6.955582327,1.854812964,1.185888285
26,5/24/2021,1,25,No,No,Control,15,44,0.99,6.1,0.25,10.9,72.48,5.29,0.188372093,8.02,364,DRAG0027,DRAG0068,0,29.90562432,5.28554413,1.410121335,364.210805,8.066464523,110.2060244,5.621514776,3.834114105,3.105632584
27,5/24/2021,1,25,No,No,Control,30,45,1.07,6.02,0.25,11,44.81,5.36,0.153846154,7.87,431,DRAG0028,DRAG0069,0,11.83608113,0,0,340.0642641,5.98696766,91.03644221,2.548870033,3.518343862,3.195005088
28,5/24/2021,1,19,No,No,NPK + Disturbance,30,46,1.05,6.04,0.26,11.1,83.94,5.45,0.134090909,8.08,382,DRAG0029,DRAG0070,0,5.022932357,0,0,238.6030059,5.289065473,82.81180189,1.097904226,3.93688928,3.399894218
